"name"	"name:ca"	"alt_name:ca"	"alt_name"	"translations"	"ca.wikipedia_page"	"wikidata_id"
"Calle Buenavista"	"Carrer Buenavista"					
"Callejón Chosca"	"Callejón Chosca"					
"Calle Baja de San Francisco"	"Carrer Baja de San Francisco"					
"Calle Caldere"	"Carrer Caldere"					
"Calle Cuesta de Forcall"	"Carrer Cuesta de Forcall"					
"Calle Eras Portal"	"Carrer Eras Portal"					
"Calle Eras de Abajo"	"Carrer Eras de Abajo"					
"Calle Eras de Arriba"	"Carrer Eras de Arriba"					
"Calle Herreria"	"Carrer Herreria"					
"Calle Muro"	"Carrer Muro"					
"Calle San Roque"	"Carrer San Roque"					
"Calle de Medio"	"Carrer de Medio"					
