"# Generated by write_osm_objects_report from LangToolsOSM 0.0.15 with parameters: lang=ca, extra_tag=('name:ca', 'alt_name:ca', 'alt_name'), query=[out:json][timeout:1000]; rel(115136);map_to_area->.divisio; nwr(area.divisio)[wikidata][name][!'name:ca']; out tags qt;"	""	""	""	""	""	""	""	""	""	""
"typeOSM"	"idOSM"	"name"	"name:ca"	"alt_name:ca"	"alt_name"	"translations"	"ca.wikipedia_page"	"wikidata_id"	"multilang_names"	"all_tags"
"node"	3206280027	"Куратово"			""	"Kuratovo"	""	"Q757849"	""	"{'name': 'Куратово', 'official_status': 'ru:село', 'old_name': 'Кебра', 'place': 'village', 'population': '313', 'population:date': '2010', 'wikidata': 'Q757849', 'wikipedia': 'ru:Куратово'}"
"node"	2662206261	"Виктор Алексеевич Савин"			""	"Nebdinsa Vittor"	"Nebdinsa Vittor"	"Q112985"	"int_name=Victor Alekseevich Savin, name:kv=Виттор Нёбдінса"	"{'description': 'Коми писатель, поэт и театрал', 'historic': 'memorial', 'int_name': 'Victor Alekseevich Savin', 'memorial': 'statue', 'name': 'Виктор Алексеевич Савин', 'name:kv': 'Виттор Нёбдінса', 'wikidata': 'Q112985', 'wikipedia': 'ru:Савин, Виктор Алексеевич'}"
"node"	599697511	"Нившера"			""	"Nivšera"	""	"Q3484604"	""	"{'addr:country': 'RU', 'addr:district': 'Корткеросский район', 'name': 'Нившера', 'place': 'village', 'wikidata': 'Q3484604', 'wikipedia': 'ru:Нившера (село)'}"
"node"	330824112	"Абезь"			""	"Abez"	""	"Q2723437"	""	"{'addr:country': 'RU', 'name': 'Абезь', 'official_status': 'ru:посёлок', 'oktmo:user': '87715000106', 'place': 'village', 'population': '478', 'population:date': '2010', 'source': 'landsat', 'wikidata': 'Q2723437', 'wikipedia': 'ru:Абезь (посёлок)'}"
"way"	365051421	"Сысола"			""	"Sysola"	""	"Q854899"	""	"{'admin_level': '8', 'boundary': 'administrative', 'gvr:code': '03020200112103000018563', 'name': 'Сысола', 'waterway': 'river', 'wikidata': 'Q854899', 'wikipedia': 'ru:Сысола'}"
"way"	648879687	"Драматический театр"			""	"Nebdinsa Vittor"	"Nebdinsa Vittor"	"Q112985"	"official_name=Драматический театр имени Виктора Савина"	"{'addr:housenumber': '56', 'addr:street': 'Первомайская улица', 'amenity': 'theatre', 'building': 'theatre', 'name': 'Драматический театр', 'official_name': 'Драматический театр имени Виктора Савина', 'wikidata': 'Q112985', 'wikipedia': 'ru:Савин, Виктор Алексеевич'}"
"way"	433802604	"Абезь"			""	"Abez"	""	"Q2723437"	""	"{'name': 'Абезь', 'official_status': 'ru:посёлок', 'oktmo:user': '87715000106', 'place': 'village', 'population': '478', 'population:date': '2010', 'wikidata': 'Q2723437', 'wikipedia': 'ru:Абезь (посёлок)'}"
"relation"	2824463	"Луза"			""	"Riu Luza"	"Riu Luza"	"Q1293972"	"name:en=Luza, name:ja=ルーザ川"	"{'destination': 'Юг', 'gvr:code': '03020100212103000011696', 'name': 'Луза', 'name:en': 'Luza', 'name:ja': 'ルーザ川', 'type': 'waterway', 'waterway': 'river', 'wikidata': 'Q1293972', 'wikipedia': 'ru:Луза (река)'}"
"relation"	12186118	"Мезень"			""	"Mezén (riu), Mezén, Riu Mezén"	"Mezén (riu)"	"Q79106"	"int_name=Mezen, name:cs=Mezeň"	"{'destination': 'Мезенская губа', 'gvr:code': '03030000112103000043056', 'int_name': 'Mezen', 'name': 'Мезень', 'name:cs': 'Mezeň', 'type': 'waterway', 'waterway': 'river', 'wikidata': 'Q79106', 'wikipedia': 'ru:Мезень (река)'}"
"relation"	2791984	"Летка"			""	"Letka"	"Letka"	"Q1821114"	"name:en=Letka, name:ru=Летка"	"{'destination': 'Вятка', 'gvr:code': '10010300212111100031600', 'name': 'Летка', 'name:en': 'Letka', 'name:ru': 'Летка', 'type': 'waterway', 'waterway': 'river', 'wikidata': 'Q1821114', 'wikipedia': 'ru:Летка'}"
"relation"	255338	"Сысола"			""	"Sysola"	""	"Q854899"	"int_name=Sysola, name:en=Sysola, name:kv=Сыктыв, name:ru=Сысола"	"{'destination': 'Vychegda', 'gvr:code': '03020200112103000018563', 'int_name': 'Sysola', 'name': 'Сысола', 'name:en': 'Sysola', 'name:kv': 'Сыктыв', 'name:ru': 'Сысола', 'type': 'waterway', 'waterway': 'river', 'wikidata': 'Q854899', 'wikipedia': 'ru:Сысола'}"
"relation"	6833764	"Куратово"			""	"Kuratovo"	""	"Q757849"	""	"{'name': 'Куратово', 'official_status': 'ru:село', 'old_name': 'Кебра', 'place': 'village', 'population': '313', 'population:date': '2010', 'type': 'multipolygon', 'wikidata': 'Q757849', 'wikipedia': 'ru:Куратово'}"
"relation"	13604740	"Прупт"			""	"Prupt"	""	"Q239550"	""	"{'destination': 'Северная Кельтма', 'gvr:code': '03020200112103000015623', 'name': 'Прупт', 'type': 'waterway', 'waterway': 'river', 'wikidata': 'Q239550', 'wikipedia': 'ru:Прупт'}"
