"# Generated by write_osm_objects_report from LangToolsOSM 0.0.15 with parameters: lang=ca, extra_tag=('name:ca', 'alt_name:ca', 'alt_name'), query=[out:json][timeout:1000]; rel(51490);map_to_area->.divisio; nwr(area.divisio)[wikidata][name][!'name:ca']; out tags qt;"	""	""	""	""	""	""	""	""	""	""
"typeOSM"	"idOSM"	"name"	"name:ca"	"alt_name:ca"	"alt_name"	"translations"	"ca.wikipedia_page"	"wikidata_id"	"multilang_names"	"all_tags"
"node"	2552682065	"Дом, где пытали Зою Космодемьянскую"			""	"Zoia Kosmodemiànskaia, Zoia Kosmodemianskaia"	"Zoia Kosmodemiànskaia"	"Q229062"	""	"{'historic': 'memorial', 'name': 'Дом, где пытали Зою Космодемьянскую', 'wikidata': 'Q229062', 'wikipedia': 'ru:Космодемьянская, Зоя Анатольевна'}"
"node"	534127166	"Костино"			""	"Kostino"	""	"Q16021467"	""	"{'addr:country': 'RU', 'addr:district': 'городской округ Шаховская', 'addr:region': 'Московская область', 'name': 'Костино', 'place': 'hamlet', 'wikidata': 'Q16021467', 'wikipedia': 'ru:Костино (Шаховской район)'}"
"node"	4305651202	"НТВ"			""	"NTV (Rússia), NTV"	"NTV (Rússia)"	"Q574625"	""	"{'addr:city': 'Серпухов', 'addr:housenumber': '123', 'addr:postcode': '142200', 'addr:street': 'улица Ворошилова', 'email': 'info@ntv.ru', 'name': 'НТВ', 'office': 'ngo', 'opening_hours': 'Mo-Su 10:00-22:00', 'opening_hours:covid19': 'off', 'phone': '+7 495 7255100', 'website': 'https://ntv.ru', 'wikidata': 'Q574625', 'wikipedia': 'ru:НТВ'}"
"node"	961928358	"Пожарский Д. М."			""	"Dmitri Pojarski"	"Dmitri Pojarski"	"Q15756"	""	"{'artist_name': 'Иванов Ю. Ф, Киреев С. В.', 'historic': 'memorial', 'inscription': 'Спасителю Отечества Воеводе Зарайска Князю Дмитрию Пожарскому', 'memorial': 'bust', 'name': 'Пожарский Д. М.', 'start_date': '2003', 'wikidata': 'Q15756', 'wikipedia': 'ru:Пожарский, Дмитрий Михайлович'}"
"node"	961968515	"Киров С. М."			""	"Serguei Kírov, Sergej Mironovič Kostrikov Kirov, Sergei Kirov, Sergei Kírov"	"Serguei Kírov"	"Q207682"	""	"{'historic': 'memorial', 'memorial': 'statue', 'name': 'Киров С. М.', 'wikidata': 'Q207682', 'wikipedia': 'ru:Киров, Сергей Миронович'}"
"node"	4851145036	"Мерецков К.А."			""	"Kiril Meretskov, Kirill Meretskov"	"Kiril Meretskov"	"Q48145"	""	"{'historic': 'memorial', 'memorial': 'bust', 'name': 'Мерецков К.А.', 'wikidata': 'Q48145', 'wikipedia': 'ru:Мерецков, Кирилл Афанасьевич'}"
"node"	963381502	"Мерецков К.А."			""	"Kiril Meretskov, Kirill Meretskov"	"Kiril Meretskov"	"Q48145"	""	"{'full_name': 'Герою Советского Союза Мерецкову Кириллу Афанасьевичу', 'historic': 'memorial', 'name': 'Мерецков К.А.', 'wikidata': 'Q48145', 'wikipedia': 'ru:Мерецков, Кирилл Афанасьевич'}"
"node"	961963023	"Димитру Благоеву"			""	"Dimítar Blagòev, Dimítar Blagòiev"	"Dimítar Blagòev"	"Q2092187"	""	"{'historic': 'memorial', 'name': 'Димитру Благоеву', 'wikidata': 'Q2092187', 'wikipedia': 'ru:Благоев, Димитр'}"
"node"	3065419900	"Усово"			""	"Ússovo"	""	"Q2502594"	""	"{'name': 'Усово', 'place': 'village', 'wikidata': 'Q2502594', 'wikipedia': 'ru:Усово (Московская область)'}"
"node"	360001361	"Заречье"			""	"Zaretxe"	""	"Q4023883"	"name:en=Zarech'e, name:ru=Заречье"	"{'addr:country': 'RU', 'addr:district': 'Одинцовский городской округ', 'addr:region': 'Московская область', 'name': 'Заречье', 'name:en': ""Zarech'e"", 'name:ru': 'Заречье', 'official_status': 'ru:посёлок городского типа', 'okato:user': '46241557', 'place': 'town', 'population': '6087', 'population:date': '2015-01-01', 'wikidata': 'Q4023883', 'wikipedia': 'ru:Заречье (городское поселение Заречье)'}"
"node"	3103803032	"Большие Горки"			""	"Bolxie Gorki"	""	"Q3286190"	""	"{'historic': 'manor', 'name': 'Большие Горки', 'official_status': 'усадьба', 'place': 'isolated_dwelling', 'wikidata': 'Q3286190'}"
"node"	390374768	"Чкалов В. П."			""	"Valeri Txkàlov"	"Valeri Txkàlov"	"Q498098"	""	"{'historic': 'memorial', 'memorial': 'statue', 'name': 'Чкалов В. П.', 'wikidata': 'Q498098', 'wikipedia': 'ru:Чкалов, Валерий Павлович'}"
"node"	3921313027	"ЗАГС Люберецкого района"			""	"oficina de registre"	""	"Q745221"	""	"{'addr:city': 'Люберцы', 'addr:housenumber': '126', 'addr:street': 'Октябрьский проспект', 'government': 'register_office', 'name': 'ЗАГС Люберецкого района', 'office': 'government', 'wikidata': 'Q745221', 'wikipedia': 'ru:ЗАГС'}"
"node"	3796480241	"Баженов В. И."			""	"Vasili Bazhenov"	""	"Q51129"	""	"{'historic': 'memorial', 'inscription': 'Улица зодчего Баженова В. И. 1737 - 1799', 'memorial': 'plaque', 'name': 'Баженов В. И.', 'wikidata': 'Q51129', 'wikipedia': 'ru:Баженов, Василий Иванович'}"
"node"	223965838	"Миг-21"			""	"Mikoian-Gurévitx MiG-21, Mikoian-Gurèvitx MiG-21, Mikoyan-Gurevich MiG-21, MiG-21 Fishbed, MiG-21"	"Mikoian-Gurévitx MiG-21"	"Q150609"	""	"{'historic': 'memorial', 'image': 'File:Zhukovsky_aeromonument_2012.jpg', 'name': 'Миг-21', 'wikidata': 'Q150609', 'wikipedia': 'ru:МиГ-21'}"
"node"	5155738062	"Р.Л. Бартини"			""	"Robert Bartini"	""	"Q544135"	""	"{'artist_name': 'Иванов Владимир Геннадьевич', 'commemorates:wikidata': 'Q544135', 'historic': 'memorial', 'inscription': 'Бартини Роберт Людвигович Роберто Орос ди Бартини', 'memorial': 'bust', 'name': 'Р.Л. Бартини', 'start_date': '2017-09-22', 'wikidata': 'Q544135', 'wikipedia': 'ru:Бартини, Роберт Людвигович'}"
"node"	5155738066	"О.К. Антонов"			""	"Oleg Antonov, Oleg Antónov, Oleg Konstantínovitx Antónov"	"Oleg Antonov"	"Q312969"	""	"{'artist_name': 'Иванов Владимир Геннадьевич', 'commemorates:wikidata': 'Q312969', 'historic': 'memorial', 'inscription': 'Антонов Олег Константинович', 'memorial': 'bust', 'name': 'О.К. Антонов', 'start_date': '2017-09-22', 'wikidata': 'Q312969', 'wikipedia': 'ru:Антонов, Олег Константинович'}"
